steam_id,TotalCaptures,TotalCapturesAll,TotalCapturesCoop,TotalHeroCaptures,TotalHeroCapturesAll,TotalHeroCapturesCoop,TotalKills,TotalKillsAll,TotalKillsCoop,TotalMVPs,TotalMVPsAll,TotalMVPsCoop
76561198043931011,10.0,10.0,,,,,71.0,104.0,33.0,2.0,2.0,
76561198044126644,,43.0,43.0,,4.0,4.0,,499.0,499.0,,9.0,9.0
76561198045027669,171.0,174.0,3.0,1.0,1.0,,2555.0,2608.0,53.0,78.0,78.0,
76561198045487058,,106.0,106.0,,7.0,7.0,9.0,2041.0,2032.0,,83.0,83.0
76561198045591957,3.0,6.0,3.0,,2.0,2.0,40.0,73.0,33.0,,7.0,7.0
76561198046236513,,,,,,,3.0,28.0,25.0,,3.0,3.0
76561198047709701,34.0,51.0,17.0,,5.0,5.0,480.0,861.0,381.0,10.0,17.0,7.0
76561198048087899,51.0,312.0,261.0,2.0,22.0,20.0,459.0,4278.0,3819.0,30.0,158.0,128.0
76561198049292481,1000.0,21.0,1000.0,25.0,5.0,5.0,100000.0,230.0,100000.0,50.0,27.0,26.0
76561198049449033,36.0,257.0,221.0,,22.0,22.0,276.0,3715.0,3439.0,14.0,142.0,128.0
76561198050025404,1.0,2.0,1.0,,,,7.0,9.0,2.0,,1.0,1.0
76561198050323268,7.0,7.0,,,,,231.0,237.0,6.0,1.0,1.0,
76561198050341568,1.0,16.0,15.0,,,,17.0,254.0,237.0,,11.0,11.0
76561198050628629,50.0,,50.0,5.0,,,250.0,,250.0,10.0,,
76561198050639054,4.0,4.0,,,,,99.0,124.0,25.0,,1.0,1.0
76561198051102119,,1.0,1.0,,,,,23.0,23.0,,4.0,4.0
76561198051439883,314.0,407.0,93.0,,5.0,5.0,1893.0,3315.0,1422.0,96.0,144.0,48.0
76561198052540427,,3.0,3.0,,,,6.0,29.0,23.0,,,
76561198052550722,4.0,46.0,42.0,,1.0,1.0,31.0,802.0,771.0,2.0,36.0,34.0
76561198052773011,761.0,783.0,22.0,2.0,6.0,4.0,11658.0,11967.0,309.0,241.0,246.0,5.0
76561198053015497,3.0,6.0,3.0,,,,22.0,29.0,7.0,2.0,3.0,1.0
76561198053455290,8.0,18.0,10.0,1.0,1.0,,127.0,223.0,96.0,1.0,3.0,2.0
76561198054173924,2.0,2.0,,,,,56.0,56.0,,,,
76561198054691850,13.0,33.0,20.0,,2.0,2.0,431.0,947.0,516.0,10.0,31.0,21.0
76561198054780300,113.0,113.0,,4.0,4.0,,1549.0,1549.0,,45.0,45.0,
76561198054892042,1000.0,128.0,1000.0,25.0,1.0,,100000.0,2810.0,100000.0,50.0,49.0,2.0
76561198054980932,4.0,4.0,,,,,60.0,60.0,,,,
76561198055948791,5.0,281.0,276.0,,16.0,16.0,31.0,3790.0,3759.0,2.0,69.0,67.0
76561198056191905,1000.0,2005.0,1005.0,25.0,25.0,,100000.0,200095.0,100095.0,50.0,63.0,13.0
76561198056209818,2.0,13.0,11.0,2.0,2.0,,12.0,111.0,99.0,3.0,5.0,2.0
76561198056889092,5.0,,32.0,4.0,,,47.0,,364.0,5.0,,
76561198056938189,1000.0,,1000.0,25.0,,,100000.0,11.0,100000.0,50.0,,
76561198057186747,6.0,6.0,,,,,106.0,113.0,7.0,,1.0,1.0
76561198057289657,1010.0,2046.0,1036.0,26.0,26.0,,100059.0,200466.0,100407.0,66.0,66.0,
76561198057320056,,,,,,,7.0,7.0,,,,
76561198058123648,14.0,83.0,69.0,,1.0,1.0,67.0,712.0,645.0,17.0,22.0,5.0
76561198058375778,4.0,,16.0,1.0,,,75.0,,166.0,6.0,,
76561198058548279,,,,,,,9.0,9.0,,2.0,2.0,
76561198058678677,22.0,24.0,2.0,,,,318.0,330.0,12.0,16.0,16.0,
76561198059374085,30.0,41.0,11.0,,,,311.0,384.0,73.0,31.0,34.0,3.0
76561198059423547,4.0,6.0,2.0,,,,63.0,79.0,16.0,2.0,2.0,
76561198059699103,,,,,,,5.0,5.0,,,,
76561198059837180,5.0,12.0,7.0,,,,385.0,465.0,80.0,2.0,7.0,5.0
76561198060228131,1000.0,,1000.0,25.0,,,100000.0,,100000.0,50.0,,
76561198060297294,1.0,194.0,193.0,19.0,19.0,,39.0,2779.0,2740.0,70.0,70.0,
76561198060617202,71.0,76.0,5.0,3.0,3.0,,515.0,560.0,45.0,18.0,18.0,
76561198060842438,1000.0,8.0,1000.0,25.0,,,100000.0,211.0,100000.0,50.0,5.0,5.0
76561198062068472,6.0,8.0,2.0,,,,347.0,368.0,21.0,19.0,19.0,
76561198062375846,2.0,157.0,155.0,,,,20.0,10510.0,10490.0,1.0,24.0,23.0
76561198062569167,32.0,380.0,348.0,18.0,20.0,2.0,180.0,4006.0,3826.0,95.0,105.0,10.0
76561198062792267,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0
76561198063631664,16.0,16.0,,,,,302.0,302.0,,9.0,9.0,
76561198063790872,7.0,104.0,97.0,,4.0,4.0,57.0,2984.0,2927.0,1.0,61.0,60.0
76561198064220737,4.0,6.0,2.0,,,,58.0,147.0,89.0,13.0,13.0,
76561198064490803,5.0,6.0,1.0,,,,47.0,49.0,2.0,,,
76561198064548735,,,2.0,,,,3.0,,21.0,1.0,,
76561198064561613,47.0,53.0,6.0,,,,426.0,497.0,71.0,18.0,18.0,
76561198064626825,5.0,6.0,1.0,,,,25.0,52.0,27.0,2.0,2.0,
76561198064946551,70.0,,2.0,2.0,,,357.0,,8.0,13.0,,
76561198065099534,3.0,17.0,14.0,,,,65.0,155.0,90.0,1.0,1.0,
76561198065898682,,14.0,14.0,,,,17.0,219.0,202.0,,3.0,3.0
76561198065975829,132.0,264.0,132.0,6.0,21.0,15.0,899.0,3758.0,2859.0,94.0,159.0,65.0
76561198066360628,10.0,21.0,11.0,,1.0,1.0,135.0,250.0,115.0,2.0,2.0,
76561198066599392,,1.0,1.0,,,,,30.0,30.0,,,
76561198067048521,2.0,8.0,6.0,,,,5.0,67.0,62.0,,2.0,2.0
76561198067441834,,,,,,,2.0,,,,,
76561198067986127,,1.0,1.0,,,,,45.0,45.0,,4.0,4.0
76561198068592076,286.0,289.0,3.0,1.0,1.0,,1355.0,1507.0,152.0,75.0,80.0,5.0
76561198068732095,,3.0,3.0,,,,3.0,81.0,78.0,,5.0,5.0
76561198068790585,20.0,,,1.0,,,32.0,,,2.0,,
76561198069360517,5.0,8.0,3.0,,1.0,1.0,78.0,148.0,70.0,7.0,8.0,1.0
76561198069850894,65.0,124.0,59.0,3.0,20.0,17.0,544.0,1965.0,1421.0,57.0,161.0,104.0
76561198070035420,10.0,65.0,55.0,,,,150.0,994.0,844.0,2.0,3.0,1.0
76561198070116971,33.0,58.0,25.0,,,,265.0,829.0,564.0,12.0,18.0,6.0
76561198070354664,1.0,6.0,5.0,,,,10.0,54.0,44.0,,2.0,2.0
76561198070730863,2.0,2.0,,,,,25.0,30.0,5.0,,,
76561198071089508,,,,,,,7.0,16.0,9.0,,,
76561198071157275,1.0,1.0,,,,,23.0,23.0,,1.0,1.0,
76561198071376702,2.0,2.0,,,,,42.0,47.0,5.0,2.0,2.0,
76561198071521792,,4.0,4.0,,,,,61.0,61.0,,5.0,5.0
76561198071521794,3.0,18.0,15.0,,4.0,4.0,174.0,320.0,146.0,3.0,16.0,13.0
76561198071837722,3.0,3.0,,,,,16.0,16.0,,1.0,1.0,
76561198072581904,2.0,39.0,37.0,,,,128.0,708.0,580.0,1.0,13.0,12.0
76561198072665430,1.0,29.0,28.0,,,,48.0,708.0,660.0,,15.0,15.0
76561198072983205,7.0,8.0,1.0,,,,156.0,166.0,10.0,1.0,1.0,
76561198073703199,10.0,10.0,,,,,340.0,374.0,34.0,5.0,5.0,
76561198073961747,1.0,10.0,9.0,,4.0,4.0,122.0,242.0,120.0,5.0,13.0,8.0
76561198074086558,,,,,,,1.0,1.0,,,,
76561198074136045,1000.0,,1000.0,25.0,,,100000.0,,100000.0,50.0,,
76561198074326846,17.0,22.0,5.0,,,,280.0,338.0,58.0,11.0,14.0,3.0
76561198074483853,15.0,15.0,,,,,324.0,324.0,,6.0,6.0,
76561198074865533,1.0,1.0,,,,,34.0,34.0,,,,
76561198074961564,22.0,24.0,2.0,,,,322.0,436.0,114.0,1.0,1.0,
76561198074962087,,15.0,15.0,,,,,137.0,137.0,,6.0,6.0
76561198075241686,12.0,12.0,,,,,333.0,333.0,,5.0,5.0,
76561198075271799,8.0,9.0,1.0,,,,126.0,132.0,6.0,6.0,6.0,
76561198075926400,16.0,1422.0,1406.0,4.0,132.0,128.0,263.0,15987.0,15724.0,10.0,358.0,348.0
76561198076285847,,,,,,,7.0,,,,,
76561198076556480,41.0,41.0,,,,,416.0,416.0,,6.0,6.0,
76561198076650555,103.0,104.0,1.0,,,,2767.0,2781.0,14.0,50.0,50.0,
76561198077013342,11.0,26.0,15.0,2.0,3.0,1.0,241.0,787.0,546.0,8.0,18.0,10.0
76561198077742891,,,,,,,3.0,,,,,
76561198077745664,1.0,1.0,,,,,25.0,25.0,,,,
76561198078002828,6.0,6.0,,,,,76.0,76.0,,1.0,1.0,
76561198078144492,1000.0,,1000.0,25.0,,,100000.0,,100000.0,50.0,,
76561198078229304,3.0,3.0,,,,,12.0,12.0,,,,
76561198078401526,2.0,2.0,,,,,77.0,77.0,,2.0,2.0,
76561198078405346,2.0,,,,,,19.0,,,,,
76561198078621495,1.0,38.0,37.0,,1.0,1.0,15.0,557.0,542.0,,6.0,6.0
76561198078635170,9.0,16.0,7.0,,,,259.0,433.0,174.0,1.0,2.0,1.0
76561198078829248,7.0,7.0,,2.0,2.0,,103.0,124.0,21.0,3.0,3.0,
76561198079295695,,,,,,,9.0,9.0,,,,
76561198079595463,3.0,8.0,5.0,,,,30.0,86.0,56.0,,5.0,5.0
76561198079924249,1000.0,,1000.0,25.0,,,100000.0,,100000.0,50.0,,
76561198080398744,36.0,155.0,119.0,5.0,5.0,,359.0,1123.0,764.0,44.0,44.0,
76561198080438669,1000.0,,1000.0,25.0,,,100000.0,13.0,100000.0,50.0,1.0,
76561198080946676,1021.0,2030.0,1009.0,,,,100151.0,200216.0,100065.0,1.0,1.0,
76561198081609249,30.0,30.0,,,,,665.0,680.0,15.0,14.0,17.0,3.0
76561198081629820,1.0,1.0,,,,,5.0,5.0,,,,
76561198081683189,,,,,,,,5.0,5.0,,1.0,1.0
76561198081872577,1.0,6.0,5.0,,,,2.0,136.0,134.0,,3.0,3.0
76561198081978983,1000.0,,1000.0,25.0,,,100000.0,10.0,100000.0,50.0,,
76561198082089413,2.0,3.0,1.0,,,,26.0,29.0,3.0,,,
76561198082223022,,,,,,,6.0,6.0,,,,
76561198082286736,2.0,4.0,2.0,,,,8.0,54.0,46.0,5.0,5.0,
76561198082756406,2.0,2.0,,,,,21.0,51.0,30.0,,1.0,1.0
76561198083030355,1006.0,2006.0,1000.0,25.0,25.0,,100074.0,200091.0,100017.0,53.0,55.0,2.0
76561198083245519,22.0,22.0,,2.0,2.0,,477.0,545.0,68.0,7.0,11.0,4.0
76561198083625241,1000.0,,1000.0,25.0,,,100000.0,8.0,100000.0,50.0,,
76561198084121638,7.0,68.0,61.0,2.0,2.0,,33.0,634.0,601.0,24.0,24.0,
76561198084473332,2.0,16.0,14.0,,1.0,1.0,50.0,252.0,202.0,,1.0,1.0
76561198084600018,13.0,13.0,,2.0,2.0,,44.0,52.0,8.0,10.0,10.0,
76561198084670312,3.0,3.0,,,,,59.0,59.0,,,,
76561198085444854,,,,,,,,10.0,10.0,,,
76561198085578806,1.0,1.0,,,,,9.0,9.0,,,,
76561198085675794,1.0,4.0,3.0,,,,7.0,40.0,33.0,1.0,3.0,2.0
76561198085994848,3.0,8.0,5.0,,1.0,1.0,115.0,223.0,108.0,,4.0,4.0
76561198086041189,,,,,,,38.0,39.0,1.0,1.0,5.0,4.0
76561198086182244,,14.0,14.0,,,,,93.0,93.0,,4.0,4.0
76561198086189152,91.0,115.0,24.0,7.0,11.0,4.0,712.0,908.0,196.0,20.0,41.0,21.0
76561198086204925,26.0,39.0,13.0,4.0,9.0,5.0,57.0,263.0,206.0,11.0,17.0,6.0
76561198086368659,3.0,606.0,603.0,,83.0,83.0,39.0,22210.0,22171.0,,216.0,216.0
76561198086628604,60.0,66.0,6.0,3.0,3.0,,324.0,478.0,154.0,20.0,20.0,
76561198086794109,1.0,,,,,,6.0,,,,,
76561198086925895,10.0,10.0,,,,,137.0,137.0,,3.0,3.0,
76561198086939848,9.0,9.0,,,,,189.0,189.0,,7.0,7.0,
76561198087373295,,17.0,17.0,,2.0,2.0,46.0,371.0,325.0,,3.0,3.0
76561198088336932,,10.0,10.0,,,,,140.0,140.0,,1.0,1.0
76561198088969488,338.0,369.0,31.0,2.0,11.0,9.0,10000.0,10398.0,398.0,176.0,196.0,20.0
76561198088996579,,,,,,,49.0,,,,,
76561198089623821,4.0,,,1.0,,,54.0,,,4.0,,
76561198089922816,,4.0,4.0,,,,,51.0,51.0,,1.0,1.0
76561198089935196,,,,,,,5.0,5.0,,,,
76561198089937891,3.0,6.0,3.0,1.0,1.0,,30.0,172.0,142.0,3.0,10.0,7.0
76561198089968071,,,,,,,1.0,1.0,,,,
76561198090343978,4.0,114.0,110.0,1.0,2.0,1.0,20.0,1040.0,1020.0,2.0,17.0,15.0
76561198091705127,19.0,28.0,9.0,,1.0,1.0,362.0,425.0,63.0,15.0,17.0,2.0
76561198091863460,2.0,2.0,,,,,78.0,84.0,6.0,1.0,1.0,
76561198091880411,90.0,544.0,454.0,23.0,26.0,3.0,796.0,4564.0,3768.0,157.0,169.0,12.0
76561198092234003,,21.0,21.0,,,,,147.0,147.0,,15.0,15.0
76561198092270555,1.0,3.0,2.0,,,,23.0,51.0,28.0,,,
76561198092318104,6.0,16.0,10.0,,1.0,1.0,17.0,84.0,67.0,1.0,1.0,
76561198092621638,2.0,2.0,,,,,26.0,37.0,11.0,,1.0,1.0
76561198092834189,3.0,49.0,46.0,1.0,4.0,3.0,66.0,592.0,526.0,8.0,20.0,12.0
76561198093207152,1002.0,2002.0,1000.0,25.0,25.0,,100048.0,200050.0,100002.0,50.0,53.0,3.0
76561198093529552,1.0,8.0,7.0,,,,49.0,264.0,215.0,1.0,10.0,9.0
76561198093613103,435.0,435.0,,,,,8544.0,8627.0,83.0,251.0,254.0,3.0
76561198093660584,23.0,105.0,82.0,1.0,2.0,1.0,280.0,899.0,619.0,17.0,17.0,
76561198093721969,,27.0,27.0,,6.0,6.0,,239.0,239.0,,4.0,4.0
76561198094100617,,10.0,10.0,,,,,278.0,278.0,,3.0,3.0
76561198094252376,6.0,6.0,,,,,24.0,24.0,,3.0,3.0,
76561198094472163,21.0,27.0,6.0,2.0,3.0,1.0,79.0,290.0,211.0,14.0,33.0,19.0
76561198094671170,,,,,,,9.0,9.0,,,,
76561198094874121,1.0,1.0,,,,,14.0,14.0,,,,
76561198095143111,,1.0,1.0,,,,11.0,45.0,34.0,,,
76561198095192756,,,,,,,,,3.0,,,
76561198095416384,12.0,12.0,,,,,182.0,182.0,,4.0,4.0,
76561198095416396,18.0,224.0,206.0,2.0,2.0,,201.0,2186.0,1985.0,12.0,15.0,3.0
76561198095640734,12.0,168.0,156.0,1.0,9.0,8.0,74.0,2630.0,2556.0,9.0,40.0,31.0
76561198095868425,3.0,58.0,55.0,,5.0,5.0,74.0,1598.0,1524.0,,18.0,18.0
76561198096300093,32.0,35.0,3.0,1.0,1.0,,111.0,147.0,36.0,13.0,13.0,
76561198096393077,,,,,,,,3.0,3.0,,,
76561198096456261,,,,,,,4.0,4.0,,,,
76561198096466713,6.0,6.0,,,,,112.0,128.0,16.0,1.0,1.0,
76561198096537083,,71.0,71.0,,3.0,3.0,,1142.0,1142.0,,26.0,26.0
76561198096664795,1001.0,,1000.0,25.0,,,100005.0,,100000.0,50.0,,
76561198096780979,,,,,,,,6.0,6.0,,1.0,1.0
76561198096824838,5.0,6.0,1.0,,,,283.0,303.0,20.0,9.0,14.0,5.0
76561198097002020,,,,,,,5.0,7.0,2.0,,,
76561198097121791,,,,,,,22.0,,,,,
76561198097179289,,,,,,,9.0,9.0,,,,
76561198097324455,2.0,2.0,,,,,69.0,69.0,,5.0,5.0,
76561198097370986,10.0,34.0,24.0,1.0,3.0,2.0,97.0,814.0,717.0,2.0,23.0,21.0
76561198098151984,,3.0,3.0,,1.0,1.0,12.0,69.0,57.0,,1.0,1.0
76561198098433665,,11.0,11.0,,,,2.0,135.0,133.0,,9.0,9.0
76561198098700257,,1.0,1.0,,,,,1.0,1.0,,,
76561198099058032,,4.0,4.0,,,,3.0,162.0,159.0,2.0,5.0,3.0
76561198099064868,,,,,,,,28.0,28.0,,4.0,4.0
76561198099355275,2.0,2.0,,2.0,2.0,,2.0,2.0,,5.0,5.0,
76561198099367892,5.0,6.0,1.0,,,,160.0,208.0,48.0,3.0,3.0,
76561198100074986,,,,,,,,2.0,2.0,,1.0,1.0
76561198100378352,70.0,176.0,106.0,,6.0,6.0,3276.0,5929.0,2653.0,48.0,87.0,39.0
76561198100459046,,,,,,,8.0,8.0,,,,
76561198100706010,,67.0,67.0,,3.0,3.0,5.0,1059.0,1054.0,,16.0,16.0
76561198100876385,4.0,4.0,,,,,120.0,120.0,,2.0,2.0,
76561198101134940,1.0,1.0,,,,,104.0,104.0,,2.0,2.0,
76561198101499643,22.0,22.0,,,,,289.0,289.0,,6.0,6.0,
76561198101788657,,,,,,,2.0,2.0,,,,
76561198101790748,,10.0,10.0,,1.0,1.0,8.0,276.0,268.0,1.0,8.0,7.0
76561198101883285,2.0,2.0,,,,,15.0,15.0,,2.0,2.0,
76561198101929592,,1.0,1.0,,1.0,1.0,,19.0,19.0,,,
76561198101976340,,1.0,1.0,,,,,54.0,54.0,,,
76561198102109631,5.0,5.0,,,,,79.0,79.0,,1.0,1.0,
76561198102243031,,,,,,,16.0,25.0,9.0,,,
76561198102389733,1.0,1.0,,,,,28.0,28.0,,1.0,1.0,
76561198102689809,4.0,5.0,1.0,,1.0,1.0,50.0,77.0,27.0,3.0,3.0,
76561198102722658,5.0,6.0,1.0,,,,328.0,373.0,45.0,,4.0,4.0
76561198103481759,1.0,1.0,,,,,3.0,3.0,,,,
76561198103662008,,,,,,,,14.0,14.0,,,
76561198104020114,,,,,,,6.0,6.0,,1.0,1.0,
76561198104099240,46.0,55.0,9.0,8.0,8.0,,389.0,661.0,272.0,41.0,59.0,18.0
76561198104247731,1.0,2.0,1.0,,,,17.0,57.0,40.0,3.0,4.0,1.0
76561198104703850,,8.0,8.0,,1.0,1.0,,59.0,59.0,,,
76561198104816536,4.0,4.0,,,,,166.0,167.0,1.0,5.0,5.0,
76561198104849521,,,,,,,29.0,29.0,,,,
76561198105355440,,3.0,3.0,,,,,11.0,11.0,,2.0,2.0
76561198105634168,18.0,81.0,63.0,,2.0,2.0,170.0,1321.0,1151.0,21.0,40.0,19.0
76561198105706186,,,,,,,3.0,3.0,,,,
76561198105917195,,16.0,16.0,,,,4.0,342.0,338.0,,4.0,4.0
76561198106219334,1.0,1.0,,,,,100.0,100.0,,1.0,1.0,
76561198106619922,2.0,2.0,,,,,25.0,25.0,,6.0,6.0,
76561198107173886,17.0,40.0,23.0,1.0,7.0,6.0,92.0,716.0,624.0,8.0,61.0,53.0
76561198107708486,31.0,33.0,2.0,,1.0,1.0,739.0,757.0,18.0,9.0,11.0,2.0
76561198107956800,,,,,,,36.0,36.0,,,,
76561198108259675,10.0,10.0,,,,,122.0,132.0,10.0,5.0,5.0,
76561198108627883,,,,,,,1.0,,,,,
76561198108638122,,242.0,242.0,,34.0,34.0,,17233.0,17233.0,,106.0,106.0
76561198108807314,,13.0,13.0,,,,,186.0,186.0,,3.0,3.0
76561198109158300,,1.0,1.0,,,,,7.0,7.0,,1.0,1.0
76561198109708704,2.0,75.0,73.0,,2.0,2.0,5.0,1229.0,1224.0,,9.0,9.0
76561198109925907,5.0,7.0,2.0,,,,77.0,86.0,9.0,,,
76561198110257952,1.0,5.0,4.0,,,,17.0,39.0,22.0,,2.0,2.0
76561198110311922,8.0,8.0,,,,,41.0,41.0,,1.0,1.0,
76561198110500612,,2.0,2.0,,,,3.0,43.0,40.0,1.0,3.0,2.0
76561198110944393,,,,,,,,,,1.0,1.0,
76561198111568074,1.0,1.0,,,,,69.0,78.0,9.0,3.0,3.0,
76561198111715989,4.0,35.0,31.0,,2.0,2.0,19.0,690.0,671.0,1.0,30.0,29.0
76561198112656598,57.0,57.0,,,,,2440.0,2440.0,,30.0,30.0,
76561198112679958,15.0,82.0,67.0,,5.0,5.0,181.0,1900.0,1719.0,11.0,116.0,105.0
76561198113047227,8.0,8.0,,,,,3.0,3.0,,,,
76561198113146366,,,,,,,1.0,1.0,,,,
76561198113208948,220.0,223.0,3.0,10.0,10.0,,463.0,516.0,53.0,120.0,122.0,2.0
76561198113552000,10.0,16.0,6.0,,4.0,4.0,50.0,130.0,80.0,3.0,4.0,1.0
76561198113703491,3.0,3.0,,,,,69.0,82.0,13.0,2.0,3.0,1.0
76561198114528371,19.0,19.0,,2.0,2.0,,106.0,106.0,,16.0,16.0,
76561198114944200,11.0,11.0,,,,,206.0,214.0,8.0,4.0,4.0,
76561198114960572,,,,,,,,9.0,9.0,,1.0,1.0
76561198115567480,1.0,,,,,,53.0,,,1.0,,
76561198116080951,3.0,,,,,,12.0,,,,,
76561198116235215,9.0,11.0,2.0,,,,83.0,140.0,57.0,2.0,2.0,
76561198117436052,,,,,,,,8.0,8.0,,,
76561198117602987,1.0,11.0,10.0,,1.0,1.0,2.0,37.0,35.0,,3.0,3.0
76561198117768580,49.0,90.0,41.0,23.0,28.0,5.0,432.0,794.0,362.0,1.0,8.0,7.0
76561198118018718,,2.0,2.0,,2.0,2.0,,50.0,50.0,,2.0,2.0
76561198118128257,5.0,164.0,159.0,,8.0,8.0,30.0,3164.0,3134.0,2.0,26.0,24.0
76561198118211171,35.0,65.0,30.0,4.0,4.0,,284.0,567.0,283.0,14.0,19.0,5.0
76561198118224345,,,,,,,20.0,20.0,,,,
76561198118476062,,,,,,,1.0,1.0,,,,
76561198118806874,2.0,2.0,,,,,11.0,33.0,22.0,,,
76561198118932160,3.0,745.0,742.0,1.0,295.0,294.0,22.0,17903.0,17881.0,2.0,792.0,790.0
76561198119807017,,,,,,,,9.0,9.0,,1.0,1.0
76561198119887700,8.0,29.0,21.0,,3.0,3.0,169.0,444.0,275.0,5.0,20.0,15.0
76561198120215627,1.0,1.0,,,,,9.0,10.0,1.0,,,
76561198120353173,,,,,,,2.0,2.0,,,,
76561198120572759,,48.0,48.0,,7.0,7.0,,682.0,682.0,,15.0,15.0
76561198120689943,,,,,,,,13.0,13.0,,,
76561198120811441,56.0,65.0,9.0,1.0,1.0,,85.0,178.0,93.0,21.0,24.0,3.0
76561198120877832,41.0,143.0,102.0,2.0,4.0,2.0,152.0,869.0,717.0,11.0,16.0,5.0
76561198120970205,28.0,28.0,,,,,689.0,705.0,16.0,12.0,12.0,
76561198121086630,1000.0,,1000.0,25.0,,,100000.0,,100000.0,50.0,,
76561198121193115,,,,,,,,12.0,12.0,,,
76561198121262451,1.0,82.0,81.0,,1.0,1.0,4.0,948.0,944.0,,16.0,16.0
76561198122394016,7.0,10.0,3.0,1.0,1.0,,93.0,139.0,46.0,3.0,4.0,1.0
76561198122431397,5.0,15.0,10.0,1.0,1.0,,260.0,391.0,131.0,12.0,12.0,
76561198123209247,18.0,20.0,2.0,1.0,2.0,1.0,67.0,103.0,36.0,12.0,15.0,3.0
76561198123553209,1.0,4.0,3.0,,1.0,1.0,10.0,44.0,34.0,,,
76561198124500616,,,,,,,19.0,19.0,,,,
76561198124514618,138.0,149.0,11.0,2.0,3.0,1.0,1845.0,1998.0,153.0,56.0,57.0,1.0
76561198124885350,,,,,,,,8.0,8.0,,2.0,2.0
76561198125421851,,,,,,,40.0,92.0,52.0,,6.0,6.0
76561198125699615,,,,,,,2.0,2.0,,,,
76561198125800195,,16.0,16.0,,,,3.0,162.0,159.0,,4.0,4.0
76561198125808254,,3.0,3.0,,1.0,1.0,,,,,,
76561198125832887,6.0,6.0,,,,,69.0,69.0,,,,
76561198126093975,2.0,2.0,,,,,21.0,21.0,,,,
76561198126255585,,1.0,1.0,,,,,6.0,6.0,,1.0,1.0
76561198126395862,3.0,22.0,19.0,2.0,2.0,,52.0,268.0,216.0,6.0,6.0,
76561198126917403,,,,,,,5.0,5.0,,,,
76561198128546672,50.0,64.0,14.0,2.0,4.0,2.0,360.0,632.0,272.0,16.0,25.0,9.0
76561198129063701,,,,,,,2.0,29.0,27.0,,,
76561198129098111,1000.0,80.0,1000.0,25.0,,,100000.0,517.0,100000.0,50.0,11.0,11.0
76561198129932217,4.0,5.0,1.0,1.0,1.0,,11.0,106.0,95.0,2.0,3.0,1.0
76561198130600640,,,,,,,,4.0,4.0,,,
76561198130778577,64.0,127.0,63.0,8.0,9.0,1.0,155.0,700.0,545.0,21.0,33.0,12.0
76561198131076125,1.0,15.0,14.0,,,,16.0,97.0,81.0,1.0,6.0,5.0
76561198131593124,155.0,159.0,4.0,,1.0,1.0,2694.0,2795.0,101.0,41.0,42.0,1.0
76561198131657007,,2.0,2.0,,,,,22.0,22.0,,,
76561198132003848,14.0,19.0,5.0,,,,88.0,191.0,103.0,4.0,8.0,4.0
76561198132616125,54.0,71.0,17.0,,1.0,1.0,1248.0,1375.0,127.0,72.0,79.0,7.0
76561198132776680,1000.0,,1000.0,25.0,,,100000.0,9.0,100000.0,50.0,1.0,1.0
76561198133059018,,,,,,,3.0,16.0,13.0,,2.0,2.0
76561198133169321,6.0,6.0,,,,,120.0,120.0,,,,
76561198133260191,,1.0,1.0,,,,,26.0,26.0,,2.0,2.0
76561198133335521,,,,,,,7.0,7.0,,1.0,1.0,
76561198133939961,27.0,27.0,,,,,341.0,341.0,,11.0,11.0,
76561198134052093,1.0,4.0,3.0,,,,8.0,13.0,5.0,,,
76561198134264692,72.0,78.0,6.0,1.0,1.0,,760.0,942.0,182.0,58.0,62.0,4.0
76561198134790828,49.0,115.0,66.0,,6.0,6.0,1152.0,1624.0,472.0,35.0,72.0,37.0
76561198134832358,56.0,66.0,10.0,2.0,6.0,4.0,1032.0,1265.0,233.0,8.0,14.0,6.0
76561198135507340,10.0,15.0,5.0,,3.0,3.0,168.0,226.0,58.0,,2.0,2.0
76561198136095277,1.0,1.0,,,,,1.0,1.0,,,,
76561198136503016,,7.0,7.0,,,,2.0,103.0,101.0,,2.0,2.0
76561198136711502,38.0,49.0,11.0,2.0,4.0,2.0,86.0,415.0,329.0,20.0,34.0,14.0
76561198136862858,237.0,248.0,11.0,,,,1922.0,2156.0,234.0,40.0,42.0,2.0
76561198136868720,104.0,298.0,194.0,3.0,18.0,15.0,1753.0,3899.0,2146.0,54.0,96.0,42.0
76561198136987744,2.0,2.0,,,,,70.0,70.0,,2.0,2.0,
76561198136999551,1000.0,,1000.0,25.0,,,100000.0,,100000.0,50.0,,
76561198137059634,47.0,47.0,,1.0,1.0,,311.0,316.0,5.0,18.0,18.0,
76561198137822206,,,,,,,,9.0,9.0,,,
76561198137851997,,3.0,3.0,,,,66.0,69.0,3.0,1.0,2.0,1.0
76561198138031287,,,,,,,,,2.0,,,
76561198138225906,,26.0,26.0,,1.0,1.0,,254.0,254.0,,6.0,6.0
76561198138266455,5.0,16.0,11.0,1.0,3.0,2.0,20.0,118.0,98.0,2.0,4.0,2.0
76561198138438125,3.0,3.0,,,,,12.0,12.0,,,,
76561198138450944,,,,,,,3.0,3.0,,,,
76561198138484416,38.0,58.0,20.0,,3.0,3.0,1279.0,1478.0,199.0,47.0,63.0,16.0
76561198139170026,35.0,38.0,3.0,,2.0,2.0,847.0,952.0,105.0,7.0,9.0,2.0
