steam_id,STAT_ACTION_APPLY_MEDS_ON_SURVIVOR,STAT_ACTION_COOK_STEAK,STAT_ACTION_DRINK,STAT_ACTION_EAT,STAT_ACTION_EQUIP_GEAR,STAT_ACTION_GUT_DEER,STAT_ACTION_HANDCUFF_SURVIVOR,STAT_ACTION_IGNITE_FIRE_HAND_DRILL,STAT_ACTION_IGNITE_FIRE_MATCHBOX,STAT_ACTION_IGNITE_FIRE_ROAD_FLARE,STAT_ACTION_SHAVE,STAT_HEADSHOT_COUNT,STAT_INFECTED_HEADSHOT_COUNT,STAT_INFECTED_KILL_COUNT,STAT_INFECTED_SOLDIER_KILL_COUNT,STAT_SURVIVOR_HEADSHOT_COUNT,STAT_SURVIVOR_KILL_MAX_DIST,STAT_SURVIVOR_MELEE_KILL_COUNT
76561198116896767,,2.0,16.0,22.0,585.0,,,,,,,6.0,6.0,43.0,16.0,,,
76561198118089906,,,12.0,17.0,92.0,,,,,,,3.0,3.0,31.0,,,,
76561198119807017,,7.0,17.0,33.0,816.0,1.0,,3.0,1.0,,2.0,20.0,20.0,53.0,3.0,,,
76561198120877832,30.0,1.0,6.0,15.0,120.0,,10.0,1.0,1.0,,1.0,27.0,27.0,41.0,1.0,,300.0,15.0
76561198121643686,1.0,,3.0,7.0,,,,,,,,3.0,3.0,18.0,,,7.904447078704834,
76561198123553209,,,,7.0,,,,,,,,2.0,2.0,10.0,,,,
76561198124514618,,,17.0,52.0,687.0,1.0,,,,,,37.0,37.0,72.0,2.0,,8.570889472961426,
76561198128535700,,,3.0,9.0,79.0,,,,,,,,,13.0,,,,1.0
76561198129609136,,,10.0,32.0,605.0,,,,,,,12.0,12.0,46.0,16.0,,,2.0
76561198132543335,,,,2.0,,,,,,,,,,,,,,
76561198133169321,2.0,9.0,270.0,372.0,706.0,5.0,,1.0,3.0,,,50.0,48.0,233.0,25.0,2.0,163.2441864013672,5.0
76561198134081860,,2.0,20.0,53.0,907.0,,1.0,,,,,4.0,4.0,119.0,,,,
76561198134264692,,,7.0,19.0,247.0,,,,,,,28.0,28.0,68.0,,,,
76561198136711502,,93.0,988.0,1890.0,12986.0,12.0,,9.0,7.0,1.0,5.0,1452.0,1452.0,4195.0,1619.0,,159.33018493652344,3.0
76561198137195513,,,15.0,45.0,,,,,,,,,,66.0,,,,2.0
76561198137600888,10.0,12.0,69.0,247.0,1049.0,,,4.0,2.0,,,108.0,108.0,499.0,109.0,,333.356201171875,1.0
76561198138065653,,,,2.0,,,,,,,,,,4.0,,,,
76561198139111949,5.0,56.0,156.0,518.0,1080.0,1.0,1.0,10.0,6.0,1.0,2.0,260.0,260.0,1064.0,312.0,,55.46335983276367,2.0
76561198140759882,,,22.0,49.0,320.0,,,,,,,,,84.0,20.0,,,
76561198145852848,,,8.0,6.0,,,,,,,,6.0,6.0,24.0,1.0,,,
76561198147213512,,,,1.0,,,,,,,,,,,,,,
76561198149712744,,,,7.0,,,,,,,,,,11.0,3.0,,,
76561198153622024,,,2.0,10.0,22.0,,,,,,,,,20.0,1.0,,,
76561198158235560,,,1.0,8.0,,,,,,,,,,9.0,,,,
76561198158305485,,,1.0,4.0,,,,,,,,,,3.0,,,,
76561198158587574,,,2.0,5.0,121.0,,,,,,,,,17.0,,,,
